formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C8H13N3O4	[M + Br]-	C8H13N3O4	13.435114542101074	13.435114542101074	0.0	2	0.33134141215011526	3.2703884519112147	3.2703884519112147	2.273472762030223	
2	C9H7F2N3O4	[M + Cl]-	C9H7F2N3O4	11.897476031875202	11.897476031875202	0.0	2	0.33134141215011526	1.7831982825351451	1.7831982825351451	1.008795378193336	
3	C8H14BrN3O4	[M - H]-	C8H14BrN3O4	11.825676629666974	11.825676629666974	0.0	2	0.33134141215011526	3.2703884519112147	3.2703884519112147	2.273472762030223	
4	C14H10ClNO2	[M + Cl]-	C14H10ClNO2	11.808376718462382	11.808376718462382	0.0	2	0.33134141215011526	3.6066649041737313	3.6066649041737313	2.5594356689153845	
5	C14H11Cl2NO2	[M - H]-	C14H11Cl2NO2	11.808376718462382	11.808376718462382	0.0	2	0.33134141215011526	3.6066649041737313	3.6066649041737313	2.5594356689153845	
6	C14H5BO7	[M - H]-	C14H5BO7	11.761327088687215	11.761327088687215	0.0	2	0.33134141215011526	4.484400999960191	4.484400999960191	3.3058452486164227	
7	C12H9N3O2S	[M + Cl]-	C12H9N3O2S	11.455555025387143	11.455555025387143	0.0	2	0.33134141215011526	-2.557982087938798	2.557982087938798	-2.682859359251434	
8	C9H13NO6S2	[M - H]-	C9H13NO6S2	11.41494917430076	11.41494917430076	0.0	2	0.33134141215011526	-3.3734992808357838	3.3734992808357838	-3.3763592029859395	
9	C13H10NO3P	[M + Cl]-	C13H10NO3P	11.365303292227422	11.365303292227422	0.0	2	0.33134141215011526	4.312327096255034	4.312327096255034	3.1595169722636816	
10	C9H8ClF2N3O4	[M - H]-	C9H8ClF2N3O4	10.825956185421184	10.825956185421184	0.0	3	0.3525664255584386	0.0832971508185536	1.6999011317165915	1.008795378193336	
