identifier,SMILES,area,retention_time,conc_M
11Cl-PF3OUdS,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,202182,6.2125,1.90E-11
11Cl-PF3OUdS,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,373044,6.2125,6.48E-11
11Cl-PF3OUdS,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,816197,6.2125,2.28E-10
11Cl-PF3OUdS,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,5037510,6.2125,7.94E-10
11Cl-PF3OUdS,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,6671432,6.2125,2.76E-09
11Cl-PF3OUdS,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,30054148,6.2125,9.90E-09
11Cl-PF3OUdS,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,44346601,6.2125,3.42E-08
11Cl-PF3OUdS,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,207332382,6.2125,1.18E-07
3:3 FTA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,10494,1.295,1.69E-10
3:3 FTA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,23289,1.295,5.91E-10
3:3 FTA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,119701,1.295,2.07E-09
3:3 FTA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,194650,1.295,7.20E-09
3:3 FTA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,799951,1.295,2.58E-08
3:3 FTA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,2035362,1.295,8.92E-08
3:3 FTA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,8496534,1.295,3.08E-07
PFHxA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,48117,2.7025,3.82E-11
PFHxA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,83643,2.7025,1.27E-10
PFHxA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,180790,2.7025,4.52E-10
PFHxA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,784108,2.7025,1.58E-09
PFHxA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1224203,2.7025,5.50E-09
PFHxA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5124591,2.7025,1.96E-08
PFHxA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5583015,2.7025,1.96E-08
PFHxA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10835159,2.7025,6.81E-08
PFHxA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,18502141,2.7025,6.81E-08
PFHxA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,44592166,2.7025,2.34E-07
PFHxA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,54928686,2.7025,2.34E-07
PFNA,FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,82991,4.508125,2.59E-11
