identifier,SMILES,area,retention_time,conc_M
Glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,11234570,8.883,0.000967947
Glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,8135067,8.883,0.00072596
Glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,5938152,8.883,0.000483973
Glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,3813619,8.883,0.000241987
Glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,999931,8.883,9.68E-05
Glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,723287,8.883,7.26E-05
Glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,469695,8.883,4.84E-05
Glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,216253,8.883,2.42E-05
Cyanazine,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,5518316,8.22,0.001019862
Cyanazine,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,3896696,8.22,0.000764896
Cyanazine,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,3072822,8.22,0.000509931
Cyanazine,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,1808763,8.22,0.000254965
Cyanazine,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,382324,8.22,0.000101986
Cyanazine,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,298046,8.22,7.65E-05
Cyanazine,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,94669,8.22,5.10E-05
Cyanazine,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,12283,8.22,2.55E-05
Flufenoxuron,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F,38001957,15.401,0.000986464
Flufenoxuron,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F,29257683,15.401,0.000739848
Flufenoxuron,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F,19902641,15.401,0.000493232
Flufenoxuron,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F,13845331,15.401,0.000246616
Flufenoxuron,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F,3560484,15.401,9.86E-05
Flufenoxuron,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F,2598144,15.401,7.40E-05
Flufenoxuron,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F,1781835,15.401,4.93E-05
Flufenoxuron,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F,872396,15.401,2.47E-05
